UHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Pro Forma ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#NUM!,,,,,12/31/2025,,,,,,,,,,47118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHI Operating Pro Forma,,Historical,,,,,Year 1,,,,,Year 2,,,,,Year 3,,,,,Year 4,,,,,Year 5,,,,,Year 6,,,,,Year 7,,,,,Year 8,,,,,Year 9,,,,,Year 10,,,
KEY STATISTICS,,,,,,,2026,,,,,2027,,,,,Stabilized,,,,,2029,,,,,2030,,,,,2031,,,,,2032,,,,,2033,,,,,2034,,,,,2035,,,
Number Of Rooms,,,,,,,150,,,,,150,,,,,150,,,,,150,,,,,150,,,,,150,,,,,150,,,,,150,,,,,150,,,,,150,,,
Occupancy,,,,,,,62%,,,,,64%,,,,,66%,,,,,66%,,,,,66%,,,,,66%,,,,,66%,,,,,66%,,,,,66%,,,,,66%,,,
ADR,,,,,,,"$1,038",,,,,"$1,069",,,,,"$1,101",,,,,"$1,134",,,,,"$1,168",,,,,"$1,203",,,,,"$1,239",,,,,"$1,277",,,,,"$1,315",,,,,"$1,354",,,
REVPAR,,$0,,,,,$644,,,,,$689,,,,,$732,,,,,$754,,,,,$776,,,,,$799,,,,,$823,,,,,$848,,,,,$874,,,,,$900,,,
REVPAR Growth,,,,,,,,,,,,7%,,,,,6%,,,,,3%,,,,,3%,,,,,3%,,,,,3%,,,,,3%,,,,,3%,,,,,3%,,,
Occupied Rooms,,,,,,,"33,945",,,,,"35,281",,,,,"36,476",,,,,"36,376",,,,,"36,376",,,,,"36,376",,,,,"36,476",,,,,"36,376",,,,,"36,376",,,,,"36,376",,,
Available Rooms,,,,,,,"54,750",,,,,"54,750",,,,,"54,900",,,,,"54,750",,,,,"54,750",,,,,"54,750",,,,,"54,900",,,,,"54,750",,,,,"54,750",,,,54750,"54,750",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVENUE,,$,%,POR,PAR,,$,%,POR,PAR,,$,%,POR,PAR,,$,%,POR,PAR,,$,%,POR,PAR,,$,%,POR,PAR,,$,%,POR,PAR,,$,%,POR,PAR,,$,%,POR,PAR,,$,%,POR,PAR,,$,%,POR,PAR
All Inclusive Rooms + Food,,,0.0%,$0,$0,,"$35,234,910",75.4%,"$1,038",$644,,"$37,720,221",75.4%,"$1,069",$689,,"$40,167,405",75.5%,"$1,101",$732,,"$41,259,387",75.5%,"$1,134",$754,,"$42,497,169",75.5%,"$1,168",$776,,"$43,772,084",75.5%,"$1,203",$799,,"$45,208,768",75.5%,"$1,239",$823,,"$46,437,804",75.5%,"$1,277",$848,,"$47,830,938",75.5%,"$1,315",$874,,"$49,265,866",75.5%,"$1,354",$900
Special Events,,,0.0%,$0,$0,,"$353,750",0.8%,$10,$6,,"$364,363",0.7%,$10,$7,,"$375,293",0.7%,$10,$7,,"$386,552",0.7%,$11,$7,,"$398,149",0.7%,$11,$7,,"$410,093",0.7%,$11,$7,,"$422,396",0.7%,$12,$8,,"$435,068",0.7%,$12,$8,,"$448,120",0.7%,$12,$8,,"$461,564",0.7%,$13,$8
Spa,,,0.0%,$0,$0,,"$7,637,625",16.3%,$225,$140,,"$8,176,349",16.4%,$232,$149,,"$8,706,807",16.4%,$239,$159,,"$8,943,509",16.4%,$246,$163,,"$9,211,814",16.4%,$253,$168,,"$9,488,169",16.4%,$261,$173,,"$9,799,588",16.4%,$269,$178,,"$10,065,998",16.4%,$277,$184,,"$10,367,978",16.4%,$285,$189,,"$10,679,017",16.4%,$294,$195
Camping,,,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0
